Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,FST-9018,BUZ-SMD_FST-9018,136.825,-97.05,0.0,top
C1,18p,C_0402_1005Metric,130.9,-81.9,0.0,top
C10,100nF,C_0402_1005Metric,163.78,-82.0,0.0,top
C11,100nF,C_0402_1005Metric,152.0,-85.4,0.0,top
C12,100nF,C_0402_1005Metric,148.69,-92.35,-90.0,top
C13,100nF,C_0402_1005Metric,152.0,-90.4,0.0,top
C14,100nF,C_0402_1005Metric,152.02,-84.4,0.0,top
C15,100nF,C_0402_1005Metric,145.8,-78.3,180.0,top
C16,100nF,C_0402_1005Metric,147.9,-78.3,0.0,top
C17,0.1uF,R_0402_1005Metric,157.4,-102.0,180.0,top
C18,0.1uF,R_0402_1005Metric,144.45,-102.05,-90.0,top
C19,0.1uF,R_0402_1005Metric,127.7,-102.0,180.0,top
C2,18p,C_0402_1005Metric,130.9,-87.9,180.0,top
C21,1uF,C_0402_1005Metric,119.7,-107.65,-90.0,top
C22,1uF,C_0402_1005Metric,119.8225,-120.025,-90.0,top
C23,0.1uF,C_0402_1005Metric,118.4275,-93.886667,-90.0,top
C24,0.1uF,C_0402_1005Metric,118.2275,-79.66,-90.0,top
C3,0.1uF,R_0402_1005Metric,173.8,-83.5,180.0,top
C4,0.1uF,R_0402_1005Metric,173.8,-76.7,180.0,top
C5,100nF,C_0402_1005Metric,136.4,-87.2,180.0,top
C6,100nF,C_0402_1005Metric,136.4,-86.0,180.0,top
C7,1uF,C_0402_1005Metric,152.0,-89.0,0.0,top
C8,100nF,C_0402_1005Metric,150.15,-92.35,-90.0,top
C9,1uF,C_0402_1005Metric,151.98,-91.86,0.0,top
Card1,TF-01A_C2889258,TF-SMD_TF-02,167.05,-61.0,90.0,top
J1,PINHD_1x8_Male,PinHeader_1x08_P2.54mm_Vertical,110.75,-61.335,180.0,top
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,172.14,-94.8,90.0,top
LED1,WS2812B-B/W,LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,128.975,-119.05,0.0,top
LED2,WS2812B-B/W,LED-SMD_4P-L5.0-W5.0-TL_WS2812B-B,158.975,-119.05,0.0,top
Q1,AO3401A,SOT-23-3,168.8,-117.3,0.0,top
R1,1k,R_0402_1005Metric,133.8,-86.1,0.0,top
R10,4.7k,R_0402_1005Metric,143.35,-102.05,-90.0,top
R11,4.7k,R_0402_1005Metric,129.8,-102.0,180.0,top
R13,4.7k,R_0402_1005Metric,159.8,-99.1,180.0,top
R14,4.7k,R_0402_1005Metric,128.2,-74.3,-90.0,top
R15,4.7k,R_0402_1005Metric,129.5,-74.3,-90.0,top
R16,100R,R_0402_1005Metric,116.4275,-93.186667,0.0,top
R17,100R,R_0402_1005Metric,116.4275,-94.386667,0.0,top
R18,1M,R_0402_1005Metric,118.4275,-91.486667,0.0,top
R19,100R,R_0402_1005Metric,116.4275,-78.86,0.0,top
R2,27.4R,R_0402_1005Metric,149.6,-85.8,0.0,top
R20,100R,R_0402_1005Metric,116.4275,-80.26,0.0,top
R21,1M,R_0402_1005Metric,118.1275,-77.18,0.0,top
R22,2M,R_0402_1005Metric,115.9275,-96.086667,-90.0,top
R23,2M,R_0402_1005Metric,115.9275,-81.98,-90.0,top
R24,2M,R_0402_1005Metric,116.2275,-91.786667,0.0,top
R25,2M,R_0402_1005Metric,115.9275,-77.18,0.0,top
R26,5.1k,R_0402_1005Metric,167.0,-97.2,90.0,top
R27,5.1k,R_0402_1005Metric,167.0,-92.4,-90.0,top
R3,27.4R,R_0402_1005Metric,149.61,-86.9,0.0,top
R4,4.7k,R_0402_1005Metric,173.8,-72.1,180.0,top
R5,1k,R_0402_1005Metric,173.8,-78.9,180.0,top
R6,10k,R_0402_1005Metric,161.3,-72.5,0.0,top
R7,4.7k,R_0402_1005Metric,148.8925,-117.55,180.0,top
R8,4.7k,R_0402_1005Metric,159.5,-102.0,180.0,top
R9,4.7k,R_0402_1005Metric,138.8175,-117.575,0.0,top
SW1,Boot,SW-SMD_L4.0-W3.0-LS5.0,173.8,-81.2,180.0,top
SW2,Reset,SW-SMD_L4.0-W3.0-LS5.0,173.8,-74.4,180.0,top
SW3,RotaryEncoder_Switch_MP,SW-TH_EC11XXXXXXXX,143.825,-110.325,0.0,top
SW4,B3F-4055,KEY-TH_4P-L12.0-W12.0-P5.00-LS13.4-EH,158.9475,-109.0,0.0,top
SW5,B3F-4055,KEY-TH_4P-L12.0-W12.0-P5.00-LS13.4-EH,128.9475,-109.0,0.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,143.7,-85.1375,-90.0,top
U2,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,159.9,-78.3,-90.0,top
U3,TLV76733DRVR,WSON-6_L2.0-W2.0-P0.65-TL-EP,168.3,-121.655,90.0,top
U4,DS18B20,TO-92_Inline,159.1,-96.36,0.0,top
U5,MCP9600T-E/MX,QFN-20-1EP_5x5mm_P0.65mm_EP3.35x3.35mm_ThermalVias,122.7675,-93.946667,0.0,top
U6,MCP9600T-E/MX,QFN-20-1EP_5x5mm_P0.65mm_EP3.35x3.35mm_ThermalVias,122.7875,-79.76,0.0,top
U7,TPS22810DRVR,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,116.3275,-107.593333,0.0,top
U8,TPS22810DRVR,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,116.35,-119.975,0.0,top
Y1,ABM8-272-T3,CRYSTAL-SMD_4P-L3.2-W2.5-BL,130.915,-85.015,-90.0,top
